SEGMENTID,TYPE,TYPE_ID,COUNT
20010207206,Cable,6,1
20010209202,Anchor,2,1
20010209203,Chain,4,3
20010209205,Chain,4,3
20010209404,Rubble,10,1
20010217307,Anchor,2,1
20010220203,Other,9,1
20010221301,Line,1,1
20020131108,Line,1,1
20020131302,Line,1,1
20020131305,Other,9,1
20020310305,Line,1,1
20020310306,Line,1,1
20020313305,Line,1,1
20020313502,Anchor,2,1
20020313506,Drum,11,1
20020316202,Line,1,1
20040112301,Cable,6,4
20040112303,Metal,3,1
20040112502,Anchor,2,1
20040112502,Metal,3,4
20040114501,Line,1,1
20040114501,Rubble,10,2
20040114502,Cable,6,2
20040114502,Pipe,8,1
20040114503,Cable,6,3
20040114503,Pipe,8,4
20040114505,Cable,6,2
20040114505,Pipe,8,1
20040114506,Cable,6,2
20040114506,Pipe,8,2
20040326301,Line,1,1
20040326303,Anchor,2,1
20040327104,Line,1,1
20060118202,Metal,3,1
20060119310,Line,1,1
20060130401,Anchor,2,1
20060130403,Chain,4,1
20060130404,Chain,4,1
20070430103,Net,5,1
20070430104,Net,5,1
20070430106,Net,5,1
20070430402,Chain,4,1
20070430403,Anchor,2,3
20070430403,Chain,4,1
20070430406,Cable,6,1
20070430407,Anchor,2,4
20070430410,Other,9,1
20070430505,Wreck,7,1
20070501103,Net,5,1
20070501206,Line,1,1
20070501306,Net,5,1
20070501310,Net,5,1
20070501401,Net,5,1
20070501402,Drum,11,2
20070501405,Net,5,1
20070501410,Wreck,7,1
20070501608,Line,1,1
20070502210,Net,5,1
20070503107,Other ,9,1
20070503203,Metal,3,1
20070503207,Net,5,1
20070503209,Wreck,7,1
20070503210,Wreck,7,1
20070503301,Pipe,8,1
20080127202,Pipe,8,1
20080127208,Cable,6,2
20080201105,Metal,3,2
20080201105,Munition,12,2
20080201201,Metal,3,1
20080201201,Other,9,1
20080201202,Metal,3,1
20080201407,Pipe,8,1
20080206308,Metal,3,1
20080208103,Cable,6,1
20080208104,Chain,4,4
20080208104,Metal,3,1
20080208105,Anchor,2,1
20080208107,Anchor,2,1
20080209301,Anchor,2,1
20080209302,Anchor,2,2
20080209303,Anchor,2,3
20080209509,Metal,3,1
20080326101,Line,1,3
20080326308,Net,5,1
20080326409,Line,1,1
20080326504,Line,1,3
20080326601,Line,1,1
20080327109,Line,1,1
20080327306,Line,1,1
20080328309,Line,1,1
20080328310,Line,1,1
20080328403,Line,1,1
20080328404,Line,1,1
20080328601,Net,5,1
20080330102,Line,1,1
20080330104,Anchor,2,1
20080330402,Line,1,1
20080331403,Other,9,1
20080331404,Chain,4,1
20080331505,Other,9,1
20080331510,Line,1,1
20080401203,Line,1,1
20080402109,Line,1,1
