SEGMENTID,TYPE,TYPE_ID,COUNT,FID,OBJECTID,DiveID,SegmentID_1,DiveYear,CruiseID,Region,Island,Lat,Long
20010207206,Cable,6,1,2925,3090,200102072,20010207206,2001,TC0110,PRIA,HOW,0.799008154,-176.6204091
20010209202,Anchor,2,1,3015,3180,200102092,20010209202,2001,TC0110,PRIA,BAK,0.201386165,-176.4833803
20010209203,Chain,4,3,3016,3181,200102092,20010209203,2001,TC0110,PRIA,BAK,0.198928498,-176.4846259
20010209205,Chain,4,3,3063,3228,200102092,20010209205,2001,TC0110,PRIA,BAK,0.195233453,-176.4869283
20010209404,Rubble,10,1,2531,2666,200102094,20010209404,2001,TC0110,PRIA,BAK,0.19088503,-176.46626
20010217307,Anchor,2,1,1112,1157,200102173,20010217307,2001,TC0110,PRIA,JAR,-0.377534915,-160.0150197
20010220203,Other,9,1,2972,3137,200102202,20010220203,2001,TC0110,PRIA,PAL,5.896871094,-162.1421467
20010221301,Line,1,1,3507,3702,200102213,20010221301,2001,TC0110,PRIA,KIN,6.382229873,-162.3912572
20020131108,Line,1,1,2731,2881,200201311,20020131108,2002,TC0201,PRIA,HOW,0.795875662,-176.6110772
20020131302,Line,1,1,3662,3872,200201313,20020131302,2002,TC0201,PRIA,HOW,0.798840472,-176.6202802
20020131305,Other,9,1,1346,1406,200201313,20020131305,2002,TC0201,PRIA,HOW,0.805942298,-176.6214
20020310305,Line,1,1,4274,4514,200203103,20020310305,2002,TC0201,PRIA,JAR,-0.37068046,-160.0095705
20020310306,Line,1,1,4275,4515,200203103,20020310306,2002,TC0201,PRIA,JAR,-0.369049078,-160.0080891
20020313305,Line,1,1,4303,4543,200203133,20020313305,2002,TC0201,PRIA,PAL,5.8976,-162.0948059
20020313502,Anchor,2,1,3797,4007,200203135,20020313502,2002,TC0201,PRIA,PAL,5.882938579,-162.1283843
20020313506,Drum,11,1,3801,4011,200203135,20020313506,2002,TC0201,PRIA,PAL,5.883714074,-162.1190212
20020316202,Line,1,1,2853,3018,200203162,20020316202,2002,TC0201,PRIA,PAL,5.894161972,-162.0546549
20040112301,Cable,6,4,7374,7764,200401123,20040112301,2004,OES0401,PRIA,JOH,16.67025708,-169.5646277
20040112303,Metal,3,1,7376,7766,200401123,20040112303,2004,OES0401,PRIA,JOH,16.67093161,-169.5611452
20040112502,Anchor,2,1,7311,7701,200401125,20040112502,2004,OES0401,PRIA,JOH,16.70441573,-169.46682
20040112502,Metal,3,4,7311,7701,200401125,20040112502,2004,OES0401,PRIA,JOH,16.70441573,-169.46682
20040114501,Line,1,1,5866,6211,200401145,20040114501,2004,OES0401,PRIA,JOH,16.74195057,-169.5265971
20040114501,Rubble,10,2,5866,6211,200401145,20040114501,2004,OES0401,PRIA,JOH,16.74195057,-169.5265971
20040114502,Cable,6,2,5989,6334,200401145,20040114502,2004,OES0401,PRIA,JOH,16.74333992,-169.5244201
20040114502,Pipe,8,1,5989,6334,200401145,20040114502,2004,OES0401,PRIA,JOH,16.74333992,-169.5244201
20040114503,Cable,6,3,6914,7259,200401145,20040114503,2004,OES0401,PRIA,JOH,16.74443322,-169.5228103
20040114503,Pipe,8,4,6914,7259,200401145,20040114503,2004,OES0401,PRIA,JOH,16.74443322,-169.5228103
20040114505,Cable,6,2,6917,7277,200401145,20040114505,2004,OES0401,PRIA,JOH,16.74659876,-169.5204712
20040114505,Pipe,8,1,6917,7277,200401145,20040114505,2004,OES0401,PRIA,JOH,16.74659876,-169.5204712
